,STATEFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION
66,16,2014,Med_MH_fac,174,Idaho,ID
67,17,2014,Med_MH_fac,334,Illinois,IL
68,18,2014,Med_MH_fac,230,Indiana,IN
69,19,2014,Med_MH_fac,131,Iowa,IA
70,20,2014,Med_MH_fac,112,Kansas,KS
71,21,2014,Med_MH_fac,171,Kentucky,KY
72,22,2014,Med_MH_fac,120,Louisiana,LA
73,23,2014,Med_MH_fac,171,Maine,ME
74,24,2014,Med_MH_fac,228,Maryland,MD
75,25,2014,Med_MH_fac,221,Massachusetts,MA
76,26,2014,Med_MH_fac,268,Michigan,MI
77,27,2014,Med_MH_fac,183,Minnesota,MN
78,28,2014,Med_MH_fac,141,Mississippi,MS
79,29,2014,Med_MH_fac,172,Missouri,MO
80,30,2014,Med_MH_fac,90,Montana,MT
81,31,2014,Med_MH_fac,87,Nebraska,NE
82,32,2014,Med_MH_fac,38,Nevada,NV
83,33,2014,Med_MH_fac,43,New Hampshire,NH
84,34,2014,Med_MH_fac,229,New Jersey,NJ
85,35,2014,Med_MH_fac,47,New Mexico,NM
86,36,2014,Med_MH_fac,789,New York,NY
87,37,2014,Med_MH_fac,286,North Carolina,NC
88,38,2014,Med_MH_fac,24,North Dakota,ND
89,39,2014,Med_MH_fac,459,Ohio,OH
90,40,2014,Med_MH_fac,134,Oklahoma,OK
91,41,2014,Med_MH_fac,125,Oregon,OR
92,42,2014,Med_MH_fac,454,Pennsylvania,PA
93,44,2014,Med_MH_fac,52,Rhode Island,RI
94,45,2014,Med_MH_fac,79,South Carolina,SC
95,46,2014,Med_MH_fac,42,South Dakota,SD
96,47,2014,Med_MH_fac,201,Tennessee,TN
97,48,2014,Med_MH_fac,229,Texas,TX
98,49,2014,Med_MH_fac,62,Utah,UT
99,50,2014,Med_MH_fac,47,Vermont,VT
100,51,2014,Med_MH_fac,236,Virginia,VA
101,53,2014,Med_MH_fac,195,Washington,WA
102,54,2014,Med_MH_fac,105,West Virginia,WV
103,55,2014,Med_MH_fac,337,Wisconsin,WI
104,56,2014,Med_MH_fac,46,Wyoming,WY
105,72,2014,Med_MH_fac,48,Puerto Rico,PR
106,00,2015,MH_fac,10821,United States,US
107,01,2015,MH_fac,146,Alabama,AL
108,02,2015,MH_fac,90,Alaska,AK
109,04,2015,MH_fac,324,Arizona,AZ
110,05,2015,MH_fac,219,Arkansas,AR
111,06,2015,MH_fac,740,California,CA
112,08,2015,MH_fac,170,Colorado,CO
113,09,2015,MH_fac,213,Connecticut,CT
114,10,2015,MH_fac,25,Delaware,DE
115,11,2015,MH_fac,33,District of Columbia,DC
116,12,2015,MH_fac,450,Florida,FL
117,13,2015,MH_fac,203,Georgia,GA
118,15,2015,MH_fac,37,Hawaii,HI
119,16,2015,MH_fac,189,Idaho,ID
120,17,2015,MH_fac,387,Illinois,IL
121,18,2015,MH_fac,261,Indiana,IN
122,19,2015,MH_fac,137,Iowa,IA
123,20,2015,MH_fac,114,Kansas,KS
124,21,2015,MH_fac,203,Kentucky,KY
125,22,2015,MH_fac,162,Louisiana,LA
126,23,2015,MH_fac,190,Maine,ME
127,24,2015,MH_fac,256,Maryland,MD
128,25,2015,MH_fac,272,Massachusetts,MA
129,26,2015,MH_fac,328,Michigan,MI
130,27,2015,MH_fac,208,Minnesota,MN
131,28,2015,MH_fac,167,Mississippi,MS
132,29,2015,MH_fac,209,Missouri,MO
133,30,2015,MH_fac,84,Montana,MT
134,31,2015,MH_fac,112,Nebraska,NE
135,32,2015,MH_fac,45,Nevada,NV
136,33,2015,MH_fac,50,New Hampshire,NH
137,34,2015,MH_fac,268,New Jersey,NJ
138,35,2015,MH_fac,67,New Mexico,NM
139,36,2015,MH_fac,795,New York,NY
140,37,2015,MH_fac,290,North Carolina,NC
141,38,2015,MH_fac,30,North Dakota,ND
142,39,2015,MH_fac,509,Ohio,OH
143,40,2015,MH_fac,129,Oklahoma,OK
144,41,2015,MH_fac,131,Oregon,OR
145,42,2015,MH_fac,535,Pennsylvania,PA
146,44,2015,MH_fac,55,Rhode Island,RI
147,45,2015,MH_fac,106,South Carolina,SC
148,46,2015,MH_fac,44,South Dakota,SD
149,47,2015,MH_fac,254,Tennessee,TN
150,48,2015,MH_fac,332,Texas,TX
151,49,2015,MH_fac,88,Utah,UT
152,50,2015,MH_fac,55,Vermont,VT
153,51,2015,MH_fac,249,Virginia,VA
154,53,2015,MH_fac,222,Washington,WA
155,54,2015,MH_fac,118,West Virginia,WV
156,55,2015,MH_fac,387,Wisconsin,WI
157,56,2015,MH_fac,50,Wyoming,WY
158,72,2015,MH_fac,83,Puerto Rico,PR
159,00,2015,Med_MH_fac,9620,United States,US
160,01,2015,Med_MH_fac,132,Alabama,AL
161,02,2015,Med_MH_fac,83,Alaska,AK
162,04,2015,Med_MH_fac,277,Arizona,AZ
163,05,2015,Med_MH_fac,214,Arkansas,AR
164,06,2015,Med_MH_fac,538,California,CA
165,08,2015,Med_MH_fac,157,Colorado,CO
166,09,2015,Med_MH_fac,197,Connecticut,CT
167,10,2015,Med_MH_fac,24,Delaware,DE
168,11,2015,Med_MH_fac,30,District of Columbia,DC
169,12,2015,Med_MH_fac,351,Florida,FL
170,13,2015,Med_MH_fac,185,Georgia,GA
171,15,2015,Med_MH_fac,31,Hawaii,HI
172,16,2015,Med_MH_fac,167,Idaho,ID
173,17,2015,Med_MH_fac,347,Illinois,IL
174,18,2015,Med_MH_fac,246,Indiana,IN
175,19,2015,Med_MH_fac,132,Iowa,IA
176,20,2015,Med_MH_fac,108,Kansas,KS
177,21,2015,Med_MH_fac,187,Kentucky,KY
178,22,2015,Med_MH_fac,132,Louisiana,LA
179,23,2015,Med_MH_fac,180,Maine,ME
180,24,2015,Med_MH_fac,253,Maryland,MD
181,25,2015,Med_MH_fac,237,Massachusetts,MA
182,26,2015,Med_MH_fac,290,Michigan,MI
183,27,2015,Med_MH_fac,193,Minnesota,MN
184,28,2015,Med_MH_fac,138,Mississippi,MS
185,29,2015,Med_MH_fac,190,Missouri,MO
186,30,2015,Med_MH_fac,82,Montana,MT
187,31,2015,Med_MH_fac,102,Nebraska,NE
188,32,2015,Med_MH_fac,38,Nevada,NV
189,33,2015,Med_MH_fac,41,New Hampshire,NH
190,34,2015,Med_MH_fac,246,New Jersey,NJ
191,35,2015,Med_MH_fac,62,New Mexico,NM
192,36,2015,Med_MH_fac,751,New York,NY
193,37,2015,Med_MH_fac,258,North Carolina,NC
194,38,2015,Med_MH_fac,29,North Dakota,ND
195,39,2015,Med_MH_fac,481,Ohio,OH
196,40,2015,Med_MH_fac,122,Oklahoma,OK
197,41,2015,Med_MH_fac,126,Oregon,OR
198,42,2015,Med_MH_fac,473,Pennsylvania,PA
199,44,2015,Med_MH_fac,50,Rhode Island,RI
200,45,2015,Med_MH_fac,95,South Carolina,SC
201,46,2015,Med_MH_fac,43,South Dakota,SD
202,47,2015,Med_MH_fac,206,Tennessee,TN
203,48,2015,Med_MH_fac,275,Texas,TX
204,49,2015,Med_MH_fac,69,Utah,UT
205,50,2015,Med_MH_fac,47,Vermont,VT
206,51,2015,Med_MH_fac,234,Virginia,VA
207,53,2015,Med_MH_fac,208,Washington,WA
208,54,2015,Med_MH_fac,114,West Virginia,WV
209,55,2015,Med_MH_fac,356,Wisconsin,WI
210,56,2015,Med_MH_fac,48,Wyoming,WY
211,72,2015,Med_MH_fac,45,Puerto Rico,PR
212,00,2016,MH_fac,10215,United States,US
213,01,2016,MH_fac,139,Alabama,AL
214,02,2016,MH_fac,81,Alaska,AK
215,04,2016,MH_fac,316,Arizona,AZ
216,05,2016,MH_fac,206,Arkansas,AR
217,06,2016,MH_fac,686,California,CA
218,08,2016,MH_fac,152,Colorado,CO
219,09,2016,MH_fac,208,Connecticut,CT
220,10,2016,MH_fac,24,Delaware,DE
221,11,2016,MH_fac,37,District of Columbia,DC
222,12,2016,MH_fac,409,Florida,FL
223,13,2016,MH_fac,185,Georgia,GA
224,15,2016,MH_fac,37,Hawaii,HI
225,16,2016,MH_fac,168,Idaho,ID
226,17,2016,MH_fac,333,Illinois,IL
227,18,2016,MH_fac,264,Indiana,IN
228,19,2016,MH_fac,131,Iowa,IA
229,20,2016,MH_fac,100,Kansas,KS
230,21,2016,MH_fac,201,Kentucky,KY
231,22,2016,MH_fac,164,Louisiana,LA
232,23,2016,MH_fac,175,Maine,ME
233,24,2016,MH_fac,249,Maryland,MD
234,25,2016,MH_fac,267,Massachusetts,MA
235,26,2016,MH_fac,308,Michigan,MI
236,27,2016,MH_fac,202,Minnesota,MN
237,28,2016,MH_fac,147,Mississippi,MS
238,29,2016,MH_fac,190,Missouri,MO
239,30,2016,MH_fac,70,Montana,MT
240,31,2016,MH_fac,116,Nebraska,NE
241,32,2016,MH_fac,46,Nevada,NV
242,33,2016,MH_fac,49,New Hampshire,NH
243,34,2016,MH_fac,257,New Jersey,NJ
244,35,2016,MH_fac,61,New Mexico,NM
245,36,2016,MH_fac,726,New York,NY
246,37,2016,MH_fac,256,North Carolina,NC
247,38,2016,MH_fac,30,North Dakota,ND
248,39,2016,MH_fac,515,Ohio,OH
249,40,2016,MH_fac,132,Oklahoma,OK
250,41,2016,MH_fac,117,Oregon,OR
251,42,2016,MH_fac,513,Pennsylvania,PA
252,44,2016,MH_fac,52,Rhode Island,RI
253,45,2016,MH_fac,100,South Carolina,SC
254,46,2016,MH_fac,44,South Dakota,SD
255,47,2016,MH_fac,233,Tennessee,TN
256,48,2016,MH_fac,309,Texas,TX
257,49,2016,MH_fac,96,Utah,UT
258,50,2016,MH_fac,59,Vermont,VT
259,51,2016,MH_fac,231,Virginia,VA
260,53,2016,MH_fac,237,Washington,WA
261,54,2016,MH_fac,108,West Virginia,WV
262,55,2016,MH_fac,359,Wisconsin,WI
263,56,2016,MH_fac,46,Wyoming,WY
264,72,2016,MH_fac,74,Puerto Rico,PR
265,00,2016,Med_MH_fac,9118,United States,US
266,01,2016,Med_MH_fac,126,Alabama,AL
267,02,2016,Med_MH_fac,72,Alaska,AK
268,04,2016,Med_MH_fac,275,Arizona,AZ
269,05,2016,Med_MH_fac,199,Arkansas,AR
270,06,2016,Med_MH_fac,487,California,CA
271,08,2016,Med_MH_fac,141,Colorado,CO
272,09,2016,Med_MH_fac,195,Connecticut,CT
273,10,2016,Med_MH_fac,23,Delaware,DE
274,11,2016,Med_MH_fac,35,District of Columbia,DC
275,12,2016,Med_MH_fac,321,Florida,FL
276,13,2016,Med_MH_fac,165,Georgia,GA
277,15,2016,Med_MH_fac,32,Hawaii,HI
278,16,2016,Med_MH_fac,146,Idaho,ID
279,17,2016,Med_MH_fac,297,Illinois,IL
280,18,2016,Med_MH_fac,251,Indiana,IN
281,19,2016,Med_MH_fac,128,Iowa,IA
282,20,2016,Med_MH_fac,94,Kansas,KS
283,21,2016,Med_MH_fac,190,Kentucky,KY
284,22,2016,Med_MH_fac,137,Louisiana,LA
285,23,2016,Med_MH_fac,167,Maine,ME
286,24,2016,Med_MH_fac,242,Maryland,MD
287,25,2016,Med_MH_fac,229,Massachusetts,MA
288,26,2016,Med_MH_fac,268,Michigan,MI
289,27,2016,Med_MH_fac,189,Minnesota,MN
290,28,2016,Med_MH_fac,123,Mississippi,MS
291,29,2016,Med_MH_fac,178,Missouri,MO
292,30,2016,Med_MH_fac,69,Montana,MT
293,31,2016,Med_MH_fac,108,Nebraska,NE
294,32,2016,Med_MH_fac,40,Nevada,NV
295,33,2016,Med_MH_fac,41,New Hampshire,NH
296,34,2016,Med_MH_fac,240,New Jersey,NJ
297,35,2016,Med_MH_fac,55,New Mexico,NM
298,36,2016,Med_MH_fac,687,New York,NY
299,37,2016,Med_MH_fac,235,North Carolina,NC
300,38,2016,Med_MH_fac,25,North Dakota,ND
301,39,2016,Med_MH_fac,482,Ohio,OH
302,40,2016,Med_MH_fac,125,Oklahoma,OK
303,41,2016,Med_MH_fac,114,Oregon,OR
304,42,2016,Med_MH_fac,463,Pennsylvania,PA
305,44,2016,Med_MH_fac,48,Rhode Island,RI
306,45,2016,Med_MH_fac,95,South Carolina,SC
307,46,2016,Med_MH_fac,43,South Dakota,SD
308,47,2016,Med_MH_fac,195,Tennessee,TN
309,48,2016,Med_MH_fac,260,Texas,TX
310,49,2016,Med_MH_fac,73,Utah,UT
311,50,2016,Med_MH_fac,46,Vermont,VT
312,51,2016,Med_MH_fac,219,Virginia,VA
313,53,2016,Med_MH_fac,221,Washington,WA
314,54,2016,Med_MH_fac,104,West Virginia,WV
315,55,2016,Med_MH_fac,337,Wisconsin,WI
316,56,2016,Med_MH_fac,44,Wyoming,WY
317,72,2016,Med_MH_fac,39,Puerto Rico,PR
318,00,2017,MH_fac,9564,United States,US
319,01,2017,MH_fac,130,Alabama,AL
320,02,2017,MH_fac,79,Alaska,AK
321,04,2017,MH_fac,291,Arizona,AZ
322,05,2017,MH_fac,190,Arkansas,AR
323,06,2017,MH_fac,662,California,CA
324,08,2017,MH_fac,146,Colorado,CO
325,09,2017,MH_fac,193,Connecticut,CT
326,10,2017,MH_fac,28,Delaware,DE
327,11,2017,MH_fac,32,District of Columbia,DC
328,12,2017,MH_fac,372,Florida,FL
329,13,2017,MH_fac,165,Georgia,GA
330,15,2017,MH_fac,24,Hawaii,HI
331,16,2017,MH_fac,135,Idaho,ID
332,17,2017,MH_fac,317,Illinois,IL
333,18,2017,MH_fac,235,Indiana,IN
334,19,2017,MH_fac,137,Iowa,IA
335,20,2017,MH_fac,106,Kansas,KS
336,21,2017,MH_fac,192,Kentucky,KY
337,22,2017,MH_fac,156,Louisiana,LA
338,23,2017,MH_fac,147,Maine,ME
339,24,2017,MH_fac,219,Maryland,MD
340,25,2017,MH_fac,242,Massachusetts,MA
341,26,2017,MH_fac,293,Michigan,MI
342,27,2017,MH_fac,189,Minnesota,MN
343,28,2017,MH_fac,134,Mississippi,MS
344,29,2017,MH_fac,179,Missouri,MO
345,30,2017,MH_fac,71,Montana,MT
346,31,2017,MH_fac,121,Nebraska,NE
347,32,2017,MH_fac,41,Nevada,NV
348,33,2017,MH_fac,50,New Hampshire,NH
349,34,2017,MH_fac,243,New Jersey,NJ
350,35,2017,MH_fac,48,New Mexico,NM
351,36,2017,MH_fac,683,New York,NY
352,37,2017,MH_fac,209,North Carolina,NC
353,38,2017,MH_fac,30,North Dakota,ND
354,39,2017,MH_fac,481,Ohio,OH
355,40,2017,MH_fac,128,Oklahoma,OK
356,41,2017,MH_fac,101,Oregon,OR
357,42,2017,MH_fac,488,Pennsylvania,PA
358,44,2017,MH_fac,44,Rhode Island,RI
359,45,2017,MH_fac,87,South Carolina,SC
360,46,2017,MH_fac,46,South Dakota,SD
361,47,2017,MH_fac,225,Tennessee,TN
362,48,2017,MH_fac,281,Texas,TX
363,49,2017,MH_fac,117,Utah,UT
364,50,2017,MH_fac,55,Vermont,VT
365,51,2017,MH_fac,212,Virginia,VA
366,53,2017,MH_fac,258,Washington,WA
367,54,2017,MH_fac,106,West Virginia,WV
368,55,2017,MH_fac,355,Wisconsin,WI
369,56,2017,MH_fac,39,Wyoming,WY
370,72,2017,MH_fac,52,Puerto Rico,PR
371,00,2017,Med_MH_fac,8605,United States,US
372,01,2017,Med_MH_fac,118,Alabama,AL
373,02,2017,Med_MH_fac,72,Alaska,AK
374,04,2017,Med_MH_fac,265,Arizona,AZ
375,05,2017,Med_MH_fac,185,Arkansas,AR
376,06,2017,Med_MH_fac,490,California,CA
377,08,2017,Med_MH_fac,137,Colorado,CO
378,09,2017,Med_MH_fac,183,Connecticut,CT
379,10,2017,Med_MH_fac,26,Delaware,DE
380,11,2017,Med_MH_fac,29,District of Columbia,DC
381,12,2017,Med_MH_fac,297,Florida,FL
382,13,2017,Med_MH_fac,148,Georgia,GA
383,15,2017,Med_MH_fac,21,Hawaii,HI
384,16,2017,Med_MH_fac,111,Idaho,ID
385,17,2017,Med_MH_fac,285,Illinois,IL
386,18,2017,Med_MH_fac,222,Indiana,IN
387,19,2017,Med_MH_fac,135,Iowa,IA
388,20,2017,Med_MH_fac,99,Kansas,KS
389,21,2017,Med_MH_fac,179,Kentucky,KY
390,22,2017,Med_MH_fac,140,Louisiana,LA
391,23,2017,Med_MH_fac,139,Maine,ME
392,24,2017,Med_MH_fac,211,Maryland,MD
393,25,2017,Med_MH_fac,215,Massachusetts,MA
394,26,2017,Med_MH_fac,257,Michigan,MI
395,27,2017,Med_MH_fac,177,Minnesota,MN
396,28,2017,Med_MH_fac,116,Mississippi,MS
397,29,2017,Med_MH_fac,167,Missouri,MO
398,30,2017,Med_MH_fac,70,Montana,MT
399,31,2017,Med_MH_fac,116,Nebraska,NE
400,32,2017,Med_MH_fac,37,Nevada,NV
401,33,2017,Med_MH_fac,44,New Hampshire,NH
402,34,2017,Med_MH_fac,222,New Jersey,NJ
403,35,2017,Med_MH_fac,43,New Mexico,NM
404,36,2017,Med_MH_fac,648,New York,NY
405,37,2017,Med_MH_fac,194,North Carolina,NC
406,38,2017,Med_MH_fac,27,North Dakota,ND
407,39,2017,Med_MH_fac,456,Ohio,OH
408,40,2017,Med_MH_fac,121,Oklahoma,OK
409,41,2017,Med_MH_fac,98,Oregon,OR
410,42,2017,Med_MH_fac,437,Pennsylvania,PA
411,44,2017,Med_MH_fac,41,Rhode Island,RI
412,45,2017,Med_MH_fac,82,South Carolina,SC
413,46,2017,Med_MH_fac,45,South Dakota,SD
414,47,2017,Med_MH_fac,193,Tennessee,TN
415,48,2017,Med_MH_fac,239,Texas,TX
416,49,2017,Med_MH_fac,84,Utah,UT
417,50,2017,Med_MH_fac,42,Vermont,VT
418,51,2017,Med_MH_fac,198,Virginia,VA
419,53,2017,Med_MH_fac,242,Washington,WA
420,54,2017,Med_MH_fac,105,West Virginia,WV
421,55,2017,Med_MH_fac,330,Wisconsin,WI
422,56,2017,Med_MH_fac,38,Wyoming,WY
423,72,2017,Med_MH_fac,29,Puerto Rico,PR
424,01,2017,MH_fac,180,Alabama,AL
425,02,2017,MH_fac,81,Alaska,AK
426,04,2017,MH_fac,1511,Arizona,AZ
427,05,2017,MH_fac,220,Arkansas,AR
428,06,2017,MH_fac,5085,California,CA
429,08,2017,MH_fac,227,Colorado,CO
430,09,2017,MH_fac,580,Connecticut,CT
431,10,2017,MH_fac,24,Delaware,DE
432,11,2017,MH_fac,36,District of Columbia,DC
433,12,2017,MH_fac,1057,Florida,FL
434,13,2017,MH_fac,321,Georgia,GA
435,15,2017,MH_fac,59,Hawaii,HI
436,16,2017,MH_fac,197,Idaho,ID
437,17,2017,MH_fac,1782,Illinois,IL
438,18,2017,MH_fac,310,Indiana,IN
439,19,2017,MH_fac,130,Iowa,IA
440,20,2017,MH_fac,102,Kansas,KS
441,21,2017,MH_fac,234,Kentucky,KY
442,22,2017,MH_fac,234,Louisiana,LA
443,23,2017,MH_fac,191,Maine,ME
444,24,2017,MH_fac,583,Maryland,MD
445,25,2017,MH_fac,816,Massachusetts,MA
446,26,2017,MH_fac,640,Michigan,MI
447,27,2017,MH_fac,342,Minnesota,MN
448,28,2017,MH_fac,165,Mississippi,MS
449,29,2017,MH_fac,255,Missouri,MO
450,30,2017,MH_fac,69,Montana,MT
451,31,2017,MH_fac,118,Nebraska,NE
452,32,2017,MH_fac,84,Nevada,NV
453,33,2017,MH_fac,90,New Hampshire,NH
454,34,2017,MH_fac,631,New Jersey,NJ
455,35,2017,MH_fac,103,New Mexico,NM
456,36,2017,MH_fac,2172,New York,NY
457,37,2017,MH_fac,357,North Carolina,NC
458,38,2017,MH_fac,30,North Dakota,ND
459,39,2017,MH_fac,1075,Ohio,OH
460,40,2017,MH_fac,152,Oklahoma,OK
461,41,2017,MH_fac,168,Oregon,OR
462,42,2017,MH_fac,1162,Pennsylvania,PA
463,44,2017,MH_fac,85,Rhode Island,RI
464,45,2017,MH_fac,149,South Carolina,SC
465,46,2017,MH_fac,44,South Dakota,SD
466,47,2017,MH_fac,266,Tennessee,TN
467,48,2017,MH_fac,904,Texas,TX
468,49,2017,MH_fac,184,Utah,UT
469,50,2017,MH_fac,56,Vermont,VT
470,51,2017,MH_fac,325,Virginia,VA
471,53,2017,MH_fac,577,Washington,WA
472,54,2017,MH_fac,108,West Virginia,WV
473,55,2017,MH_fac,621,Wisconsin,WI
474,56,2017,MH_fac,45,Wyoming,WY
475,72,2017,MH_fac,74,Puerto Rico,PR
476,00,2017,MH_fac,25011,United States,US
477,00,2004,SA_fac,11056,United States,US
478,01,2004,SA_fac,84,Alabama,AL
479,02,2004,SA_fac,50,Alaska,AK
480,04,2004,SA_fac,144,Arizona,AZ
481,05,2004,SA_fac,44,Arkansas,AR
482,06,2004,SA_fac,1547,California,CA
483,08,2004,SA_fac,370,Colorado,CO
484,09,2004,SA_fac,176,Connecticut,CT
485,10,2004,SA_fac,37,Delaware,DE
486,11,2004,SA_fac,46,District of Columbia,DC
487,12,2004,SA_fac,400,Florida,FL
488,13,2004,SA_fac,161,Georgia,GA
489,15,2004,SA_fac,78,Hawaii,HI
490,16,2004,SA_fac,66,Idaho,ID
491,17,2004,SA_fac,534,Illinois,IL
492,18,2004,SA_fac,281,Indiana,IN
493,19,2004,SA_fac,87,Iowa,IA
494,20,2004,SA_fac,176,Kansas,KS
495,21,2004,SA_fac,284,Kentucky,KY
496,22,2004,SA_fac,124,Louisiana,LA
497,23,2004,SA_fac,164,Maine,ME
498,24,2004,SA_fac,310,Maryland,MD
499,25,2004,SA_fac,229,Massachusetts,MA
500,26,2004,SA_fac,487,Michigan,MI
501,27,2004,SA_fac,226,Minnesota,MN
502,28,2004,SA_fac,79,Mississippi,MS
503,29,2004,SA_fac,167,Missouri,MO
504,30,2004,SA_fac,34,Montana,MT
505,31,2004,SA_fac,83,Nebraska,NE
506,32,2004,SA_fac,53,Nevada,NV
507,33,2004,SA_fac,43,New Hampshire,NH
508,34,2004,SA_fac,267,New Jersey,NJ
509,35,2004,SA_fac,59,New Mexico,NM
510,36,2004,SA_fac,960,New York,NY
511,37,2004,SA_fac,253,North Carolina,NC
512,38,2004,SA_fac,45,North Dakota,ND
513,39,2004,SA_fac,398,Ohio,OH
514,40,2004,SA_fac,119,Oklahoma,OK
515,41,2004,SA_fac,186,Oregon,OR
516,42,2004,SA_fac,368,Pennsylvania,PA
517,44,2004,SA_fac,49,Rhode Island,RI
518,45,2004,SA_fac,80,South Carolina,SC
519,46,2004,SA_fac,41,South Dakota,SD
520,47,2004,SA_fac,154,Tennessee,TN
521,48,2004,SA_fac,490,Texas,TX
522,49,2004,SA_fac,104,Utah,UT
523,50,2004,SA_fac,30,Vermont,VT
524,51,2004,SA_fac,118,Virginia,VA
525,53,2004,SA_fac,293,Washington,WA
526,54,2004,SA_fac,66,West Virginia,WV
527,55,2004,SA_fac,205,Wisconsin,WI
528,56,2004,SA_fac,39,Wyoming,WY
529,72,2004,SA_fac,168,Puerto Rico,PR
530,00,2004,Med_SA_fac,5749,United States,US
531,01,2004,Med_SA_fac,37,Alabama,AL
532,02,2004,Med_SA_fac,35,Alaska,AK
533,04,2004,Med_SA_fac,69,Arizona,AZ
534,05,2004,Med_SA_fac,11,Arkansas,AR
535,06,2004,Med_SA_fac,398,California,CA
536,08,2004,Med_SA_fac,104,Colorado,CO
537,09,2004,Med_SA_fac,128,Connecticut,CT
538,10,2004,Med_SA_fac,22,Delaware,DE
539,11,2004,Med_SA_fac,20,District of Columbia,DC
540,12,2004,Med_SA_fac,144,Florida,FL
541,13,2004,Med_SA_fac,95,Georgia,GA
542,15,2004,Med_SA_fac,13,Hawaii,HI
543,16,2004,Med_SA_fac,20,Idaho,ID
544,17,2004,Med_SA_fac,248,Illinois,IL
545,18,2004,Med_SA_fac,170,Indiana,IN
546,19,2004,Med_SA_fac,80,Iowa,IA
547,20,2004,Med_SA_fac,88,Kansas,KS
548,21,2004,Med_SA_fac,109,Kentucky,KY
549,22,2004,Med_SA_fac,28,Louisiana,LA
550,23,2004,Med_SA_fac,144,Maine,ME
551,24,2004,Med_SA_fac,163,Maryland,MD
552,25,2004,Med_SA_fac,153,Massachusetts,MA
553,26,2004,Med_SA_fac,323,Michigan,MI
554,27,2004,Med_SA_fac,98,Minnesota,MN
555,28,2004,Med_SA_fac,60,Mississippi,MS
556,29,2004,Med_SA_fac,100,Missouri,MO
557,30,2004,Med_SA_fac,25,Montana,MT
558,31,2004,Med_SA_fac,46,Nebraska,NE
559,32,2004,Med_SA_fac,18,Nevada,NV
560,33,2004,Med_SA_fac,23,New Hampshire,NH
561,34,2004,Med_SA_fac,130,New Jersey,NJ
