,STATEFP,DISTRICT,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION
101,12,21,2014,MH_fac,24,Florida,FL
102,12,22,2014,MH_fac,76,Florida,FL
103,12,23,2014,MH_fac,106,Florida,FL
104,12,24,2014,MH_fac,106,Florida,FL
105,12,25,2014,MH_fac,62,Florida,FL
106,12,26,2014,MH_fac,57,Florida,FL
107,12,27,2014,MH_fac,54,Florida,FL
108,12,3,2014,MH_fac,14,Florida,FL
109,12,4,2014,MH_fac,30,Florida,FL
110,12,5,2014,MH_fac,40,Florida,FL
111,12,6,2014,MH_fac,29,Florida,FL
112,12,7,2014,MH_fac,40,Florida,FL
113,12,8,2014,MH_fac,49,Florida,FL
114,12,9,2014,MH_fac,56,Florida,FL
115,13,1,2014,MH_fac,26,Georgia,GA
116,13,10,2014,MH_fac,20,Georgia,GA
117,13,11,2014,MH_fac,21,Georgia,GA
118,13,12,2014,MH_fac,24,Georgia,GA
119,13,13,2014,MH_fac,28,Georgia,GA
120,13,14,2014,MH_fac,14,Georgia,GA
121,13,2,2014,MH_fac,23,Georgia,GA
122,13,3,2014,MH_fac,21,Georgia,GA
123,13,4,2014,MH_fac,32,Georgia,GA
124,13,5,2014,MH_fac,41,Georgia,GA
125,13,6,2014,MH_fac,42,Georgia,GA
126,13,7,2014,MH_fac,8,Georgia,GA
127,13,8,2014,MH_fac,24,Georgia,GA
128,13,9,2014,MH_fac,15,Georgia,GA
129,15,1,2014,MH_fac,32,Hawaii,HI
130,15,2,2014,MH_fac,48,Hawaii,HI
131,16,1,2014,MH_fac,99,Idaho,ID
132,16,2,2014,MH_fac,119,Idaho,ID
133,17,1,2014,MH_fac,157,Illinois,IL
134,17,10,2014,MH_fac,160,Illinois,IL
135,17,11,2014,MH_fac,195,Illinois,IL
136,17,12,2014,MH_fac,35,Illinois,IL
137,17,13,2014,MH_fac,33,Illinois,IL
138,17,14,2014,MH_fac,64,Illinois,IL
139,17,15,2014,MH_fac,59,Illinois,IL
140,17,16,2014,MH_fac,36,Illinois,IL
141,17,17,2014,MH_fac,33,Illinois,IL
142,17,18,2014,MH_fac,28,Illinois,IL
143,17,2,2014,MH_fac,161,Illinois,IL
144,17,3,2014,MH_fac,186,Illinois,IL
145,17,4,2014,MH_fac,151,Illinois,IL
146,17,5,2014,MH_fac,180,Illinois,IL
147,17,6,2014,MH_fac,204,Illinois,IL
148,17,7,2014,MH_fac,151,Illinois,IL
149,17,8,2014,MH_fac,189,Illinois,IL
150,17,9,2014,MH_fac,151,Illinois,IL
151,18,1,2014,MH_fac,25,Indiana,IN
152,18,2,2014,MH_fac,28,Indiana,IN
153,18,3,2014,MH_fac,36,Indiana,IN
154,18,4,2014,MH_fac,33,Indiana,IN
155,18,5,2014,MH_fac,49,Indiana,IN
156,18,6,2014,MH_fac,39,Indiana,IN
157,18,7,2014,MH_fac,28,Indiana,IN
158,18,8,2014,MH_fac,36,Indiana,IN
159,18,9,2014,MH_fac,23,Indiana,IN
160,19,1,2014,MH_fac,29,Iowa,IA
161,19,2,2014,MH_fac,29,Iowa,IA
162,19,3,2014,MH_fac,30,Iowa,IA
163,19,4,2014,MH_fac,48,Iowa,IA
164,20,1,2014,MH_fac,52,Kansas,KS
165,20,2,2014,MH_fac,33,Kansas,KS
166,20,3,2014,MH_fac,12,Kansas,KS
167,20,4,2014,MH_fac,25,Kansas,KS
168,21,1,2014,MH_fac,28,Kentucky,KY
169,21,2,2014,MH_fac,33,Kentucky,KY
170,21,3,2014,MH_fac,22,Kentucky,KY
171,21,4,2014,MH_fac,54,Kentucky,KY
172,21,5,2014,MH_fac,51,Kentucky,KY
173,21,6,2014,MH_fac,23,Kentucky,KY
174,22,1,2014,MH_fac,55,Louisiana,LA
175,22,2,2014,MH_fac,54,Louisiana,LA
176,22,3,2014,MH_fac,24,Louisiana,LA
177,22,4,2014,MH_fac,21,Louisiana,LA
178,22,5,2014,MH_fac,28,Louisiana,LA
179,22,6,2014,MH_fac,26,Louisiana,LA
180,23,1,2014,MH_fac,86,Maine,ME
181,23,2,2014,MH_fac,122,Maine,ME
182,24,1,2014,MH_fac,80,Maryland,MD
183,24,2,2014,MH_fac,111,Maryland,MD
184,24,3,2014,MH_fac,125,Maryland,MD
185,24,4,2014,MH_fac,44,Maryland,MD
186,24,5,2014,MH_fac,56,Maryland,MD
187,24,6,2014,MH_fac,38,Maryland,MD
188,24,7,2014,MH_fac,88,Maryland,MD
189,24,8,2014,MH_fac,34,Maryland,MD
190,25,1,2014,MH_fac,83,Massachusetts,MA
191,25,2,2014,MH_fac,86,Massachusetts,MA
192,25,3,2014,MH_fac,100,Massachusetts,MA
193,25,4,2014,MH_fac,136,Massachusetts,MA
194,25,5,2014,MH_fac,104,Massachusetts,MA
195,25,6,2014,MH_fac,72,Massachusetts,MA
196,25,7,2014,MH_fac,92,Massachusetts,MA
197,25,8,2014,MH_fac,90,Massachusetts,MA
198,25,9,2014,MH_fac,58,Massachusetts,MA
199,26,1,2014,MH_fac,37,Michigan,MI
200,26,10,2014,MH_fac,28,Michigan,MI
201,26,11,2014,MH_fac,83,Michigan,MI
202,26,12,2014,MH_fac,64,Michigan,MI
203,26,13,2014,MH_fac,54,Michigan,MI
204,26,14,2014,MH_fac,83,Michigan,MI
205,26,2,2014,MH_fac,46,Michigan,MI
206,26,3,2014,MH_fac,39,Michigan,MI
207,26,4,2014,MH_fac,24,Michigan,MI
208,26,5,2014,MH_fac,31,Michigan,MI
209,26,6,2014,MH_fac,24,Michigan,MI
210,26,7,2014,MH_fac,25,Michigan,MI
211,26,8,2014,MH_fac,40,Michigan,MI
212,26,9,2014,MH_fac,49,Michigan,MI
213,27,1,2014,MH_fac,26,Minnesota,MN
214,27,2,2014,MH_fac,17,Minnesota,MN
215,27,3,2014,MH_fac,49,Minnesota,MN
216,27,4,2014,MH_fac,30,Minnesota,MN
217,27,5,2014,MH_fac,72,Minnesota,MN
218,27,6,2014,MH_fac,70,Minnesota,MN
219,27,7,2014,MH_fac,44,Minnesota,MN
220,27,8,2014,MH_fac,34,Minnesota,MN
221,28,1,2014,MH_fac,37,Mississippi,MS
222,28,2,2014,MH_fac,52,Mississippi,MS
223,28,3,2014,MH_fac,54,Mississippi,MS
224,28,4,2014,MH_fac,39,Mississippi,MS
225,29,1,2014,MH_fac,37,Missouri,MO
226,29,2,2014,MH_fac,39,Missouri,MO
227,29,3,2014,MH_fac,26,Missouri,MO
228,29,4,2014,MH_fac,33,Missouri,MO
229,29,5,2014,MH_fac,28,Missouri,MO
230,29,6,2014,MH_fac,43,Missouri,MO
231,29,7,2014,MH_fac,18,Missouri,MO
232,29,8,2014,MH_fac,33,Missouri,MO
233,30,1,2014,MH_fac,90,Montana,MT
234,31,1,2014,MH_fac,37,Nebraska,NE
235,31,2,2014,MH_fac,30,Nebraska,NE
236,31,3,2014,MH_fac,34,Nebraska,NE
237,32,1,2014,MH_fac,17,Nevada,NV
238,32,2,2014,MH_fac,21,Nevada,NV
239,32,3,2014,MH_fac,17,Nevada,NV
240,32,4,2014,MH_fac,24,Nevada,NV
241,33,1,2014,MH_fac,43,New Hampshire,NH
242,33,2,2014,MH_fac,46,New Hampshire,NH
243,34,1,2014,MH_fac,39,New Jersey,NJ
244,34,10,2014,MH_fac,58,New Jersey,NJ
245,34,11,2014,MH_fac,62,New Jersey,NJ
246,34,12,2014,MH_fac,57,New Jersey,NJ
247,34,2,2014,MH_fac,71,New Jersey,NJ
248,34,3,2014,MH_fac,29,New Jersey,NJ
249,34,4,2014,MH_fac,40,New Jersey,NJ
250,34,5,2014,MH_fac,58,New Jersey,NJ
251,34,6,2014,MH_fac,29,New Jersey,NJ
252,34,7,2014,MH_fac,69,New Jersey,NJ
253,34,8,2014,MH_fac,84,New Jersey,NJ
254,34,9,2014,MH_fac,66,New Jersey,NJ
255,35,1,2014,MH_fac,18,New Mexico,NM
256,35,2,2014,MH_fac,27,New Mexico,NM
257,35,3,2014,MH_fac,38,New Mexico,NM
258,36,1,2014,MH_fac,56,New York,NY
259,36,10,2014,MH_fac,198,New York,NY
260,36,11,2014,MH_fac,112,New York,NY
261,36,12,2014,MH_fac,265,New York,NY
262,36,13,2014,MH_fac,160,New York,NY
263,36,14,2014,MH_fac,122,New York,NY
264,36,15,2014,MH_fac,55,New York,NY
265,36,16,2014,MH_fac,105,New York,NY
266,36,17,2014,MH_fac,60,New York,NY
267,36,18,2014,MH_fac,95,New York,NY
268,36,19,2014,MH_fac,71,New York,NY
269,36,2,2014,MH_fac,90,New York,NY
270,36,20,2014,MH_fac,35,New York,NY
271,36,21,2014,MH_fac,31,New York,NY
272,36,22,2014,MH_fac,34,New York,NY
273,36,23,2014,MH_fac,56,New York,NY
274,36,24,2014,MH_fac,33,New York,NY
275,36,25,2014,MH_fac,22,New York,NY
276,36,26,2014,MH_fac,76,New York,NY
277,36,27,2014,MH_fac,110,New York,NY
278,36,3,2014,MH_fac,157,New York,NY
279,36,4,2014,MH_fac,34,New York,NY
280,36,5,2014,MH_fac,101,New York,NY
281,36,6,2014,MH_fac,67,New York,NY
282,36,7,2014,MH_fac,265,New York,NY
283,36,8,2014,MH_fac,160,New York,NY
284,36,9,2014,MH_fac,93,New York,NY
285,37,1,2014,MH_fac,34,North Carolina,NC
286,37,10,2014,MH_fac,27,North Carolina,NC
287,37,11,2014,MH_fac,33,North Carolina,NC
288,37,12,2014,MH_fac,30,North Carolina,NC
289,37,13,2014,MH_fac,31,North Carolina,NC
290,37,2,2014,MH_fac,35,North Carolina,NC
291,37,3,2014,MH_fac,29,North Carolina,NC
292,37,4,2014,MH_fac,36,North Carolina,NC
293,37,5,2014,MH_fac,25,North Carolina,NC
294,37,6,2014,MH_fac,43,North Carolina,NC
295,37,7,2014,MH_fac,24,North Carolina,NC
296,37,8,2014,MH_fac,29,North Carolina,NC
297,37,9,2014,MH_fac,65,North Carolina,NC
298,38,1,2014,MH_fac,25,North Dakota,ND
299,39,1,2014,MH_fac,48,Ohio,OH
300,39,10,2014,MH_fac,30,Ohio,OH
301,39,11,2014,MH_fac,85,Ohio,OH
302,39,12,2014,MH_fac,71,Ohio,OH
303,39,13,2014,MH_fac,81,Ohio,OH
304,39,14,2014,MH_fac,116,Ohio,OH
305,39,15,2014,MH_fac,64,Ohio,OH
306,39,16,2014,MH_fac,120,Ohio,OH
307,39,2,2014,MH_fac,55,Ohio,OH
308,39,3,2014,MH_fac,43,Ohio,OH
309,39,4,2014,MH_fac,35,Ohio,OH
310,39,5,2014,MH_fac,43,Ohio,OH
311,39,6,2014,MH_fac,75,Ohio,OH
312,39,7,2014,MH_fac,49,Ohio,OH
313,39,8,2014,MH_fac,24,Ohio,OH
314,39,9,2014,MH_fac,100,Ohio,OH
315,40,1,2014,MH_fac,25,Oklahoma,OK
316,40,2,2014,MH_fac,42,Oklahoma,OK
317,40,3,2014,MH_fac,27,Oklahoma,OK
318,40,4,2014,MH_fac,50,Oklahoma,OK
319,40,5,2014,MH_fac,23,Oklahoma,OK
320,41,1,2014,MH_fac,46,Oregon,OR
321,41,2,2014,MH_fac,38,Oregon,OR
322,41,3,2014,MH_fac,30,Oregon,OR
323,41,4,2014,MH_fac,31,Oregon,OR
324,41,5,2014,MH_fac,47,Oregon,OR
325,42,1,2014,MH_fac,92,Pennsylvania,PA
326,42,10,2014,MH_fac,50,Pennsylvania,PA
327,42,11,2014,MH_fac,45,Pennsylvania,PA
328,42,12,2014,MH_fac,83,Pennsylvania,PA
329,42,13,2014,MH_fac,100,Pennsylvania,PA
330,42,14,2014,MH_fac,75,Pennsylvania,PA
331,42,15,2014,MH_fac,65,Pennsylvania,PA
332,42,16,2014,MH_fac,59,Pennsylvania,PA
333,42,17,2014,MH_fac,46,Pennsylvania,PA
334,42,18,2014,MH_fac,84,Pennsylvania,PA
335,42,2,2014,MH_fac,100,Pennsylvania,PA
336,42,3,2014,MH_fac,44,Pennsylvania,PA
337,42,4,2014,MH_fac,33,Pennsylvania,PA
338,42,5,2014,MH_fac,66,Pennsylvania,PA
339,42,6,2014,MH_fac,78,Pennsylvania,PA
340,42,7,2014,MH_fac,105,Pennsylvania,PA
341,42,8,2014,MH_fac,44,Pennsylvania,PA
342,42,9,2014,MH_fac,56,Pennsylvania,PA
343,44,1,2014,MH_fac,50,Rhode Island,RI
344,44,2,2014,MH_fac,47,Rhode Island,RI
345,45,1,2014,MH_fac,11,South Carolina,SC
346,45,2,2014,MH_fac,30,South Carolina,SC
347,45,3,2014,MH_fac,15,South Carolina,SC
348,45,4,2014,MH_fac,8,South Carolina,SC
349,45,5,2014,MH_fac,17,South Carolina,SC
350,45,6,2014,MH_fac,43,South Carolina,SC
351,45,7,2014,MH_fac,12,South Carolina,SC
352,46,1,2014,MH_fac,43,South Dakota,SD
353,47,1,2014,MH_fac,40,Tennessee,TN
354,47,2,2014,MH_fac,35,Tennessee,TN
355,47,3,2014,MH_fac,25,Tennessee,TN
356,47,4,2014,MH_fac,22,Tennessee,TN
357,47,5,2014,MH_fac,24,Tennessee,TN
358,47,6,2014,MH_fac,30,Tennessee,TN
359,47,7,2014,MH_fac,34,Tennessee,TN
360,47,8,2014,MH_fac,48,Tennessee,TN
361,47,9,2014,MH_fac,24,Tennessee,TN
362,48,1,2014,MH_fac,11,Texas,TX
363,48,10,2014,MH_fac,28,Texas,TX
364,48,11,2014,MH_fac,14,Texas,TX
365,48,12,2014,MH_fac,19,Texas,TX
366,48,13,2014,MH_fac,20,Texas,TX
367,48,14,2014,MH_fac,12,Texas,TX
368,48,15,2014,MH_fac,7,Texas,TX
369,48,16,2014,MH_fac,6,Texas,TX
370,48,17,2014,MH_fac,14,Texas,TX
371,48,18,2014,MH_fac,23,Texas,TX
372,48,19,2014,MH_fac,17,Texas,TX
373,48,2,2014,MH_fac,23,Texas,TX
374,48,20,2014,MH_fac,13,Texas,TX
375,48,21,2014,MH_fac,21,Texas,TX
376,48,22,2014,MH_fac,30,Texas,TX
377,48,23,2014,MH_fac,30,Texas,TX
378,48,24,2014,MH_fac,34,Texas,TX
379,48,25,2014,MH_fac,32,Texas,TX
380,48,26,2014,MH_fac,34,Texas,TX
381,48,27,2014,MH_fac,15,Texas,TX
382,48,28,2014,MH_fac,23,Texas,TX
383,48,29,2014,MH_fac,23,Texas,TX
384,48,3,2014,MH_fac,9,Texas,TX
385,48,30,2014,MH_fac,10,Texas,TX
386,48,31,2014,MH_fac,8,Texas,TX
387,48,32,2014,MH_fac,19,Texas,TX
388,48,33,2014,MH_fac,28,Texas,TX
389,48,34,2014,MH_fac,9,Texas,TX
390,48,35,2014,MH_fac,20,Texas,TX
391,48,36,2014,MH_fac,25,Texas,TX
392,48,4,2014,MH_fac,21,Texas,TX
393,48,5,2014,MH_fac,18,Texas,TX
394,48,6,2014,MH_fac,18,Texas,TX
395,48,7,2014,MH_fac,23,Texas,TX
396,48,8,2014,MH_fac,30,Texas,TX
397,48,9,2014,MH_fac,27,Texas,TX
398,49,1,2014,MH_fac,24,Utah,UT
399,49,2,2014,MH_fac,33,Utah,UT
400,49,3,2014,MH_fac,44,Utah,UT
401,49,4,2014,MH_fac,38,Utah,UT
402,50,1,2014,MH_fac,56,Vermont,VT
403,51,1,2014,MH_fac,19,Virginia,VA
404,51,10,2014,MH_fac,40,Virginia,VA
405,51,11,2014,MH_fac,27,Virginia,VA
406,51,2,2014,MH_fac,27,Virginia,VA
407,51,3,2014,MH_fac,24,Virginia,VA
408,51,4,2014,MH_fac,45,Virginia,VA
409,51,5,2014,MH_fac,31,Virginia,VA
410,51,6,2014,MH_fac,39,Virginia,VA
411,51,7,2014,MH_fac,30,Virginia,VA
412,51,8,2014,MH_fac,33,Virginia,VA
413,51,9,2014,MH_fac,42,Virginia,VA
414,53,1,2014,MH_fac,102,Washington,WA
415,53,10,2014,MH_fac,21,Washington,WA
416,53,2,2014,MH_fac,29,Washington,WA
417,53,3,2014,MH_fac,26,Washington,WA
418,53,4,2014,MH_fac,19,Washington,WA
419,53,5,2014,MH_fac,32,Washington,WA
420,53,6,2014,MH_fac,23,Washington,WA
421,53,7,2014,MH_fac,94,Washington,WA
422,53,8,2014,MH_fac,96,Washington,WA
423,53,9,2014,MH_fac,91,Washington,WA
424,54,1,2014,MH_fac,44,West Virginia,WV
425,54,2,2014,MH_fac,29,West Virginia,WV
426,54,3,2014,MH_fac,36,West Virginia,WV
427,55,1,2014,MH_fac,126,Wisconsin,WI
428,55,2,2014,MH_fac,66,Wisconsin,WI
429,55,3,2014,MH_fac,60,Wisconsin,WI
430,55,4,2014,MH_fac,81,Wisconsin,WI
431,55,5,2014,MH_fac,99,Wisconsin,WI
432,55,6,2014,MH_fac,96,Wisconsin,WI
433,55,7,2014,MH_fac,74,Wisconsin,WI
434,55,8,2014,MH_fac,47,Wisconsin,WI
435,56,1,2014,MH_fac,47,Wyoming,WY
436,72,1,2014,MH_fac,93,Puerto Rico,PR
437,1,1,2014,Med_MH_fac,10,Alabama,AL
438,1,2,2014,Med_MH_fac,21,Alabama,AL
439,1,3,2014,Med_MH_fac,23,Alabama,AL
440,1,4,2014,Med_MH_fac,23,Alabama,AL
441,1,5,2014,Med_MH_fac,11,Alabama,AL
442,1,6,2014,Med_MH_fac,26,Alabama,AL
443,1,7,2014,Med_MH_fac,40,Alabama,AL
444,2,1,2014,Med_MH_fac,71,Alaska,AK
445,4,1,2014,Med_MH_fac,242,Arizona,AZ
446,4,2,2014,Med_MH_fac,56,Arizona,AZ
447,4,3,2014,Med_MH_fac,202,Arizona,AZ
448,4,4,2014,Med_MH_fac,190,Arizona,AZ
449,4,5,2014,Med_MH_fac,129,Arizona,AZ
450,4,6,2014,Med_MH_fac,129,Arizona,AZ
451,4,7,2014,Med_MH_fac,129,Arizona,AZ
452,4,8,2014,Med_MH_fac,129,Arizona,AZ
453,4,9,2014,Med_MH_fac,129,Arizona,AZ
454,5,1,2014,Med_MH_fac,78,Arkansas,AR
455,5,2,2014,Med_MH_fac,43,Arkansas,AR
456,5,3,2014,Med_MH_fac,26,Arkansas,AR
457,5,4,2014,Med_MH_fac,67,Arkansas,AR
458,6,1,2014,Med_MH_fac,19,California,CA
459,6,10,2014,Med_MH_fac,7,California,CA
460,6,11,2014,Med_MH_fac,14,California,CA
461,6,12,2014,Med_MH_fac,22,California,CA
462,6,13,2014,Med_MH_fac,52,California,CA
463,6,14,2014,Med_MH_fac,31,California,CA
464,6,15,2014,Med_MH_fac,44,California,CA
465,6,16,2014,Med_MH_fac,13,California,CA
466,6,17,2014,Med_MH_fac,59,California,CA
467,6,18,2014,Med_MH_fac,43,California,CA
468,6,19,2014,Med_MH_fac,29,California,CA
469,6,2,2014,Med_MH_fac,18,California,CA
470,6,20,2014,Med_MH_fac,42,California,CA
471,6,21,2014,Med_MH_fac,19,California,CA
472,6,22,2014,Med_MH_fac,8,California,CA
473,6,23,2014,Med_MH_fac,147,California,CA
474,6,24,2014,Med_MH_fac,13,California,CA
475,6,25,2014,Med_MH_fac,140,California,CA
476,6,26,2014,Med_MH_fac,140,California,CA
477,6,27,2014,Med_MH_fac,148,California,CA
478,6,28,2014,Med_MH_fac,133,California,CA
479,6,29,2014,Med_MH_fac,133,California,CA
480,6,3,2014,Med_MH_fac,31,California,CA
481,6,30,2014,Med_MH_fac,140,California,CA
482,6,31,2014,Med_MH_fac,15,California,CA
483,6,32,2014,Med_MH_fac,133,California,CA
484,6,33,2014,Med_MH_fac,133,California,CA
485,6,34,2014,Med_MH_fac,133,California,CA
486,6,35,2014,Med_MH_fac,148,California,CA
487,6,36,2014,Med_MH_fac,26,California,CA
488,6,37,2014,Med_MH_fac,133,California,CA
489,6,38,2014,Med_MH_fac,152,California,CA
490,6,39,2014,Med_MH_fac,167,California,CA
491,6,4,2014,Med_MH_fac,20,California,CA
492,6,40,2014,Med_MH_fac,133,California,CA
493,6,41,2014,Med_MH_fac,26,California,CA
494,6,42,2014,Med_MH_fac,26,California,CA
495,6,43,2014,Med_MH_fac,133,California,CA
496,6,44,2014,Med_MH_fac,133,California,CA
497,6,45,2014,Med_MH_fac,19,California,CA
498,6,46,2014,Med_MH_fac,19,California,CA
499,6,47,2014,Med_MH_fac,152,California,CA
500,6,48,2014,Med_MH_fac,19,California,CA
501,6,49,2014,Med_MH_fac,58,California,CA
502,6,5,2014,Med_MH_fac,35,California,CA
503,6,50,2014,Med_MH_fac,65,California,CA
504,6,51,2014,Med_MH_fac,40,California,CA
505,6,52,2014,Med_MH_fac,39,California,CA
506,6,53,2014,Med_MH_fac,39,California,CA
507,6,6,2014,Med_MH_fac,17,California,CA
508,6,7,2014,Med_MH_fac,13,California,CA
509,6,8,2014,Med_MH_fac,18,California,CA
510,6,9,2014,Med_MH_fac,31,California,CA
511,8,1,2014,Med_MH_fac,45,Colorado,CO
512,8,2,2014,Med_MH_fac,35,Colorado,CO
513,8,3,2014,Med_MH_fac,40,Colorado,CO
514,8,4,2014,Med_MH_fac,66,Colorado,CO
515,8,5,2014,Med_MH_fac,13,Colorado,CO
516,8,6,2014,Med_MH_fac,31,Colorado,CO
517,8,7,2014,Med_MH_fac,20,Colorado,CO
518,9,1,2014,Med_MH_fac,55,Connecticut,CT
519,9,2,2014,Med_MH_fac,131,Connecticut,CT
520,9,3,2014,Med_MH_fac,105,Connecticut,CT
521,9,4,2014,Med_MH_fac,100,Connecticut,CT
522,9,5,2014,Med_MH_fac,150,Connecticut,CT
523,10,1,2014,Med_MH_fac,24,Delaware,DE
524,11,1,2014,Med_MH_fac,28,District of Columbia,DC
525,12,1,2014,Med_MH_fac,11,Florida,FL
526,12,10,2014,Med_MH_fac,24,Florida,FL
527,12,11,2014,Med_MH_fac,13,Florida,FL
528,12,12,2014,Med_MH_fac,39,Florida,FL
529,12,13,2014,Med_MH_fac,16,Florida,FL
530,12,14,2014,Med_MH_fac,15,Florida,FL
531,12,15,2014,Med_MH_fac,31,Florida,FL
532,12,16,2014,Med_MH_fac,25,Florida,FL
533,12,17,2014,Med_MH_fac,30,Florida,FL
534,12,18,2014,Med_MH_fac,28,Florida,FL
535,12,19,2014,Med_MH_fac,11,Florida,FL
536,12,2,2014,Med_MH_fac,23,Florida,FL
537,12,20,2014,Med_MH_fac,58,Florida,FL
538,12,21,2014,Med_MH_fac,16,Florida,FL
539,12,22,2014,Med_MH_fac,58,Florida,FL
540,12,23,2014,Med_MH_fac,94,Florida,FL
541,12,24,2014,Med_MH_fac,94,Florida,FL
542,12,25,2014,Med_MH_fac,58,Florida,FL
543,12,26,2014,Med_MH_fac,55,Florida,FL
544,12,27,2014,Med_MH_fac,52,Florida,FL
545,12,3,2014,Med_MH_fac,11,Florida,FL
546,12,4,2014,Med_MH_fac,26,Florida,FL
547,12,5,2014,Med_MH_fac,34,Florida,FL
548,12,6,2014,Med_MH_fac,26,Florida,FL
549,12,7,2014,Med_MH_fac,29,Florida,FL
550,12,8,2014,Med_MH_fac,39,Florida,FL
551,12,9,2014,Med_MH_fac,44,Florida,FL
